Gen 1: best_this_gen = 24.00, mean_this_gen = 15.20, genome = [0.6685, 0.6091, 0.1711, 0.7291, 0.1634, 0.8103]
Gen 2: best_this_gen = 60.00, mean_this_gen = 27.70, genome = [0.648, 0.6091, 0.0201, 0.7669, 0.0369, 0.1871]
Gen 3: best_this_gen = 239.00, mean_this_gen = 55.20, genome = [0.648, 0.6091, 0.4319, 0.7291, 0.0, 0.4056]
Gen 4: best_this_gen = 60.00, mean_this_gen = 34.50, genome = [0.648, 0.6091, 0.4319, 0.7291, 0.0, 0.4056]
Gen 5: best_this_gen = 232.00, mean_this_gen = 64.80, genome = [0.182, 0.4851, 0.0201, 0.7669, 0.0, 0.4056]
Gen 6: best_this_gen = 138.00, mean_this_gen = 52.60, genome = [0.182, 0.4851, 0.0201, 0.7669, 0.0, 0.4056]
Gen 7: best_this_gen = 163.00, mean_this_gen = 82.20, genome = [0.182, 0.4851, 0.0201, 0.909, 0.0, 0.4863]
Gen 8: best_this_gen = 153.00, mean_this_gen = 90.40, genome = [0.0342, 0.4851, 0.0201, 0.5935, 0.0, 0.4056]
Gen 9: best_this_gen = 269.00, mean_this_gen = 111.10, genome = [0.7111, 0.6344, 0.1209, 0.6797, 0.0, 0.3446]
Gen 10: best_this_gen = 529.00, mean_this_gen = 123.90, genome = [0.7111, 0.6344, 0.1209, 0.6797, 0.0, 0.3446]
Gen 11: best_this_gen = 212.00, mean_this_gen = 90.60, genome = [0.7111, 0.6344, 0.1209, 0.6797, 0.0, 0.3446]
Gen 12: best_this_gen = 142.00, mean_this_gen = 75.10, genome = [0.7111, 0.7016, 0.1209, 0.6797, 0.0, 0.3446]
Gen 13: best_this_gen = 237.00, mean_this_gen = 126.40, genome = [0.8506, 0.6344, 0.1209, 0.6797, 0.0, 0.3446]
Gen 14: best_this_gen = 333.00, mean_this_gen = 127.40, genome = [0.5563, 0.7016, 0.1209, 0.6797, 0.0, 0.3446]
Gen 15: best_this_gen = 242.00, mean_this_gen = 94.20, genome = [0.5563, 1.0, 0.1036, 1.0, 0.0, 0.3446]
Gen 16: best_this_gen = 218.00, mean_this_gen = 92.30, genome = [0.6386, 0.6017, 0.1209, 0.6797, 0.0, 0.1635]
Gen 17: best_this_gen = 205.00, mean_this_gen = 102.70, genome = [0.6386, 1.0, 0.1036, 1.0, 0.0, 0.5692]
Gen 18: best_this_gen = 205.00, mean_this_gen = 120.20, genome = [0.4115, 0.4559, 0.1209, 0.9045, 0.0, 0.3446]
Gen 19: best_this_gen = 255.00, mean_this_gen = 105.90, genome = [0.6742, 0.6017, 0.1553, 0.6797, 0.0, 0.3446]
Gen 20: best_this_gen = 190.00, mean_this_gen = 107.00, genome = [0.6742, 0.6017, 0.1209, 0.719, 0.0, 0.2438]
Gen 21: best_this_gen = 128.00, mean_this_gen = 63.00, genome = [0.6742, 0.6017, 0.0707, 0.6797, 0.0, 0.2438]
Gen 22: best_this_gen = 202.00, mean_this_gen = 96.60, genome = [0.6742, 0.6017, 0.3085, 0.812, 0.0, 0.3446]
Gen 23: best_this_gen = 160.00, mean_this_gen = 86.60, genome = [0.6742, 0.6017, 0.1209, 0.6797, 0.0, 0.3446]
Gen 24: best_this_gen = 370.00, mean_this_gen = 110.10, genome = [0.7967, 0.9805, 0.3273, 0.9277, 0.0, 0.3446]
Gen 25: best_this_gen = 221.00, mean_this_gen = 65.60, genome = [0.9382, 0.6017, 0.1209, 0.6797, 0.0, 0.3446]

Best ever fitness = 529.00, genome = [0.7111, 0.6344, 0.1209, 0.6797, 0.0, 0.3446]
[roulette] Best-ever: fitness=529.00, genome=[0.7111, 0.6344, 0.1209, 0.6797, 0.0, 0.3446]
=====================================================================================================================
Gen 1: best_this_gen = 91.00, mean_this_gen = 29.40, genome = [0.6817, 0.537, 0.2668, 0.641, 0.0, 0.5605]
Gen 2: best_this_gen = 259.00, mean_this_gen = 68.08, genome = [0.6817, 0.537, 0.2668, 0.641, 0.0, 0.5726]
Gen 3: best_this_gen = 369.00, mean_this_gen = 92.84, genome = [0.6817, 0.537, 0.2668, 0.641, 0.0, 0.5726]
Gen 4: best_this_gen = 295.00, mean_this_gen = 110.16, genome = [0.6192, 0.3033, 0.2189, 0.3662, 0.0, 0.6892]
Gen 5: best_this_gen = 318.00, mean_this_gen = 110.04, genome = [0.8092, 1.0, 0.2668, 0.5088, 0.0, 0.8211]
Gen 6: best_this_gen = 204.00, mean_this_gen = 94.80, genome = [0.6405, 0.3974, 0.4066, 0.5394, 0.0, 0.6892]
Gen 7: best_this_gen = 277.00, mean_this_gen = 79.76, genome = [0.8092, 0.9461, 0.1468, 0.9293, 0.0, 0.4878]
Gen 8: best_this_gen = 290.00, mean_this_gen = 85.84, genome = [0.8092, 0.8228, 0.1468, 0.9293, 0.0, 0.6815]
Gen 9: best_this_gen = 256.00, mean_this_gen = 98.40, genome = [0.8188, 0.9461, 0.0257, 0.8452, 0.0, 0.7842]
Gen 10: best_this_gen = 358.00, mean_this_gen = 102.52, genome = [0.8092, 1.0, 0.1468, 0.7642, 0.0, 0.7842]
Gen 11: best_this_gen = 1197.00, mean_this_gen = 127.76, genome = [1.0, 0.0, 0.3132, 1.0, 0.0, 0.8443]
Gen 12: best_this_gen = 840.00, mean_this_gen = 195.44, genome = [1.0, 0.0, 0.3132, 1.0, 0.0, 0.8443]
Gen 13: best_this_gen = 1288.00, mean_this_gen = 421.88, genome = [0.8652, 0.0, 0.2673, 0.9293, 0.0, 0.8443]
Gen 14: best_this_gen = 3047.00, mean_this_gen = 782.92, genome = [1.0, 0.0, 0.3658, 1.0, 0.0, 0.8791]
Gen 15: best_this_gen = 4549.00, mean_this_gen = 1026.24, genome = [1.0, 0.0, 0.2479, 0.7985, 0.0, 0.3993]
Gen 16: best_this_gen = 2690.00, mean_this_gen = 744.28, genome = [0.8061, 0.0, 0.1621, 1.0, 0.0, 0.6815]
Gen 17: best_this_gen = 4100.00, mean_this_gen = 658.40, genome = [1.0, 0.0, 0.2479, 1.0, 0.0, 0.3993]
Gen 18: best_this_gen = 2765.00, mean_this_gen = 614.32, genome = [0.8061, 0.0, 0.1621, 1.0, 0.0, 0.3993]
Gen 19: best_this_gen = 2510.00, mean_this_gen = 573.96, genome = [0.8061, 0.0, 0.2092, 1.0, 0.0, 0.7325]
Gen 20: best_this_gen = 4705.00, mean_this_gen = 663.64, genome = [0.8061, 0.0, 0.1621, 1.0, 0.0, 0.2772]
Gen 21: best_this_gen = 3537.00, mean_this_gen = 815.68, genome = [0.8061, 0.0, 0.252, 1.0, 0.0, 0.7325]
Gen 22: best_this_gen = 2579.00, mean_this_gen = 687.56, genome = [0.9972, 0.0, 0.252, 1.0, 0.0, 0.7325]
Gen 23: best_this_gen = 2323.00, mean_this_gen = 449.60, genome = [0.7607, 0.0, 0.252, 1.0, 0.0, 0.3993]
Gen 24: best_this_gen = 1886.00, mean_this_gen = 424.44, genome = [0.6988, 0.0, 0.1621, 0.6923, 0.0, 0.3116]
Gen 25: best_this_gen = 7795.00, mean_this_gen = 834.04, genome = [0.7607, 0.0, 0.2104, 1.0, 0.0, 0.6266]
Gen 26: best_this_gen = 2060.00, mean_this_gen = 576.96, genome = [0.7607, 0.0, 0.1458, 0.7782, 0.0, 0.7325]
Gen 27: best_this_gen = 1155.00, mean_this_gen = 354.44, genome = [0.6988, 0.0059, 0.2188, 0.4938, 0.0, 0.7508]
Gen 28: best_this_gen = 2440.00, mean_this_gen = 407.40, genome = [0.7326, 0.0059, 0.2188, 0.4938, 0.0, 0.7508]
Gen 29: best_this_gen = 3137.00, mean_this_gen = 558.80, genome = [0.7607, 0.0, 0.1621, 0.7782, 0.0, 0.7325]
Gen 30: best_this_gen = 1722.00, mean_this_gen = 606.96, genome = [0.7607, 0.0, 0.2418, 0.7782, 0.0, 0.7325]
Gen 31: best_this_gen = 2309.00, mean_this_gen = 525.92, genome = [0.5854, 0.0059, 0.2188, 0.5463, 0.0, 0.8662]
Gen 32: best_this_gen = 2020.00, mean_this_gen = 488.96, genome = [0.3597, 0.0059, 0.1363, 0.4938, 0.0, 0.7934]
Gen 33: best_this_gen = 2793.00, mean_this_gen = 488.72, genome = [0.4703, 0.0059, 0.2188, 0.8876, 0.0, 0.8771]
Gen 34: best_this_gen = 3936.00, mean_this_gen = 766.76, genome = [0.5854, 0.0, 0.2188, 1.0, 0.0, 0.8771]
Gen 35: best_this_gen = 4144.00, mean_this_gen = 836.84, genome = [0.4006, 0.0059, 0.2188, 0.8876, 0.0, 0.8771]
Gen 36: best_this_gen = 841.00, mean_this_gen = 270.16, genome = [0.8122, 0.0, 0.2188, 0.8994, 0.0, 0.8526]
Gen 37: best_this_gen = 4108.00, mean_this_gen = 502.56, genome = [0.707, 0.0, 0.2188, 0.6805, 0.0, 0.8526]
Gen 38: best_this_gen = 2405.00, mean_this_gen = 563.44, genome = [0.4006, 0.0, 0.2188, 1.0, 0.0, 0.8526]
Gen 39: best_this_gen = 2107.00, mean_this_gen = 486.40, genome = [0.4006, 0.0, 0.2188, 1.0, 0.0, 0.8526]
Gen 40: best_this_gen = 5379.00, mean_this_gen = 1002.88, genome = [0.7212, 0.0, 0.2642, 0.6805, 0.0, 0.8526]
Gen 41: best_this_gen = 6567.00, mean_this_gen = 918.48, genome = [0.7548, 0.0, 0.2213, 0.7323, 0.0, 0.8526]
Gen 42: best_this_gen = 3248.00, mean_this_gen = 784.20, genome = [0.8854, 0.0, 0.1805, 1.0, 0.0, 0.4053]
Gen 43: best_this_gen = 2252.00, mean_this_gen = 570.56, genome = [0.7548, 0.0, 0.2213, 0.7323, 0.0, 0.7235]
Gen 44: best_this_gen = 1976.00, mean_this_gen = 462.00, genome = [0.7548, 0.0, 0.2213, 0.7323, 0.0, 0.8526]
Gen 45: best_this_gen = 3009.00, mean_this_gen = 776.84, genome = [0.674, 0.0, 0.2213, 0.7323, 0.0, 0.646]
Gen 46: best_this_gen = 3403.00, mean_this_gen = 762.08, genome = [0.674, 0.0, 0.2642, 0.8639, 0.0, 0.7235]
Gen 47: best_this_gen = 5178.00, mean_this_gen = 870.92, genome = [0.674, 0.0, 0.2642, 0.8639, 0.0, 0.7235]
Gen 48: best_this_gen = 2042.00, mean_this_gen = 607.60, genome = [0.5649, 0.0, 0.2642, 0.6805, 0.0, 0.8467]
Gen 49: best_this_gen = 3055.00, mean_this_gen = 653.04, genome = [0.5538, 0.0, 0.1782, 0.6735, 0.0, 0.5916]
Gen 50: best_this_gen = 3843.00, mean_this_gen = 711.56, genome = [0.5538, 0.0, 0.1782, 0.6735, 0.0, 0.5916]

Best ever fitness = 7795.00, genome = [0.7607, 0.0, 0.2104, 1.0, 0.0, 0.6266]
[roulette] Best ever: fitness=7795.00, genome=[0.7607, 0.0, 0.2104, 1.0, 0.0, 0.6266]
================================================================================================================
Gen 1: best_this_gen = 114.00, mean_this_gen = 33.68, genome = [0.878, 0.9469, 0.0857, 0.2505, 0.0, 0.7606]
Gen 2: best_this_gen = 202.00, mean_this_gen = 63.64, genome = [0.9572, 0.3366, 0.2668, 0.641, 0.0, 0.7606]
Gen 3: best_this_gen = 227.00, mean_this_gen = 88.40, genome = [0.8473, 0.3366, 0.2668, 0.641, 0.0, 0.7606]
Gen 4: best_this_gen = 816.00, mean_this_gen = 111.72, genome = [0.878, 0.0438, 0.2668, 0.641, 0.0, 0.7606]
Gen 5: best_this_gen = 1909.00, mean_this_gen = 229.00, genome = [1.0, 0.0438, 0.2668, 0.641, 0.0, 0.7606]
Gen 6: best_this_gen = 2128.00, mean_this_gen = 562.92, genome = [0.878, 0.0438, 0.2668, 0.641, 0.0, 0.7606]
Gen 7: best_this_gen = 3338.00, mean_this_gen = 633.08, genome = [1.0, 0.0, 0.2668, 0.641, 0.0, 0.9105]
Gen 8: best_this_gen = 1230.00, mean_this_gen = 270.08, genome = [0.8764, 0.0438, 0.2668, 0.8619, 0.0, 0.9233]
Gen 9: best_this_gen = 2074.00, mean_this_gen = 480.88, genome = [0.878, 0.0, 0.2668, 0.641, 0.0, 0.8552]
Gen 10: best_this_gen = 2768.00, mean_this_gen = 483.28, genome = [0.878, 0.0, 0.2668, 0.5916, 0.0, 0.5316]
Gen 11: best_this_gen = 3109.00, mean_this_gen = 767.52, genome = [1.0, 0.0, 0.2668, 0.3547, 0.0, 0.7945]
Gen 12: best_this_gen = 3340.00, mean_this_gen = 896.04, genome = [1.0, 0.0, 0.2668, 0.5916, 0.0, 0.5316]
Gen 13: best_this_gen = 2399.00, mean_this_gen = 452.52, genome = [1.0, 0.0, 0.2668, 0.5916, 0.0, 0.5316]
Gen 14: best_this_gen = 1664.00, mean_this_gen = 454.76, genome = [0.8114, 0.0438, 0.2668, 0.5916, 0.0, 0.5316]
Gen 15: best_this_gen = 2202.00, mean_this_gen = 472.72, genome = [1.0, 0.0, 0.2668, 0.7446, 0.0, 0.5316]
Gen 16: best_this_gen = 1985.00, mean_this_gen = 517.88, genome = [0.9178, 0.0, 0.1875, 0.433, 0.0, 0.5316]
Gen 17: best_this_gen = 4689.00, mean_this_gen = 818.68, genome = [1.0, 0.0, 0.2713, 0.3589, 0.0, 0.4163]
Gen 18: best_this_gen = 1974.00, mean_this_gen = 468.96, genome = [0.9178, 0.0, 0.2928, 0.4278, 0.0, 0.4163]
Gen 19: best_this_gen = 2276.00, mean_this_gen = 568.44, genome = [0.5286, 0.0, 0.2668, 0.7446, 0.0, 0.7995]
Gen 20: best_this_gen = 2000.00, mean_this_gen = 471.84, genome = [0.7723, 0.0, 0.2668, 0.9065, 0.0, 0.9992]
Gen 21: best_this_gen = 4912.00, mean_this_gen = 743.04, genome = [0.7723, 0.0, 0.2668, 0.4737, 0.0, 0.8187]
Gen 22: best_this_gen = 2346.00, mean_this_gen = 744.80, genome = [0.7723, 0.0, 0.2902, 0.9065, 0.0, 0.7995]
Gen 23: best_this_gen = 2257.00, mean_this_gen = 781.76, genome = [0.6846, 0.0, 0.2713, 0.7462, 0.0, 0.7995]
Gen 24: best_this_gen = 1115.00, mean_this_gen = 388.12, genome = [0.6846, 0.0, 0.2713, 0.7462, 0.0, 0.7322]
Gen 25: best_this_gen = 2303.00, mean_this_gen = 745.52, genome = [0.7723, 0.0, 0.2713, 0.5773, 0.0, 0.7995]
Gen 26: best_this_gen = 2869.00, mean_this_gen = 641.16, genome = [0.5425, 0.0, 0.2713, 0.4713, 0.0, 0.7995]
Gen 27: best_this_gen = 1855.00, mean_this_gen = 602.24, genome = [1.0, 0.0, 0.2902, 0.6236, 0.0, 1.0]
Gen 28: best_this_gen = 2804.00, mean_this_gen = 560.68, genome = [0.8151, 0.0, 0.2713, 0.4713, 0.0, 0.7995]
Gen 29: best_this_gen = 2678.00, mean_this_gen = 696.68, genome = [1.0, 0.0161, 0.2902, 0.6999, 0.0, 1.0]
Gen 30: best_this_gen = 2507.00, mean_this_gen = 654.72, genome = [1.0, 0.0, 0.2902, 0.4713, 0.0, 0.898]
Gen 31: best_this_gen = 1510.00, mean_this_gen = 415.56, genome = [1.0, 0.0, 0.2902, 0.4713, 0.0, 0.7322]
Gen 32: best_this_gen = 1643.00, mean_this_gen = 501.28, genome = [1.0, 0.0, 0.3058, 0.6932, 0.0, 0.428]
Gen 33: best_this_gen = 2523.00, mean_this_gen = 828.76, genome = [0.9788, 0.0, 0.2855, 0.6932, 0.0, 0.428]
Gen 34: best_this_gen = 1224.00, mean_this_gen = 363.96, genome = [1.0, 0.0, 0.1736, 0.5689, 0.0, 0.6963]
Gen 35: best_this_gen = 1700.00, mean_this_gen = 474.36, genome = [1.0, 0.0, 0.2396, 0.6932, 0.0, 0.7591]
Gen 36: best_this_gen = 4141.00, mean_this_gen = 861.04, genome = [0.8715, 0.0, 0.2855, 0.9802, 0.0, 0.7604]
Gen 37: best_this_gen = 2213.00, mean_this_gen = 775.80, genome = [0.8715, 0.0, 0.2855, 0.9802, 0.0, 0.7604]
Gen 38: best_this_gen = 2488.00, mean_this_gen = 489.32, genome = [0.9974, 0.0, 0.2855, 0.9802, 0.0, 0.7604]
Gen 39: best_this_gen = 3740.00, mean_this_gen = 621.60, genome = [0.9644, 0.0, 0.3171, 0.9802, 0.0, 0.7604]
Gen 40: best_this_gen = 3090.00, mean_this_gen = 554.44, genome = [0.9644, 0.0, 0.3171, 1.0, 0.0, 0.7688]
Gen 41: best_this_gen = 2987.00, mean_this_gen = 650.40, genome = [0.9644, 0.0, 0.3171, 1.0, 0.0, 0.7688]
Gen 42: best_this_gen = 5195.00, mean_this_gen = 979.52, genome = [0.9051, 0.0, 0.3171, 1.0, 0.0, 0.7688]
Gen 43: best_this_gen = 3231.00, mean_this_gen = 858.16, genome = [0.9644, 0.0, 0.3171, 1.0, 0.0, 0.619]
Gen 44: best_this_gen = 1966.00, mean_this_gen = 402.12, genome = [0.9051, 0.0327, 0.341, 0.9592, 0.0, 1.0]
Gen 45: best_this_gen = 6809.00, mean_this_gen = 833.24, genome = [1.0, 0.0, 0.3171, 1.0, 0.0, 0.9605]
Gen 46: best_this_gen = 2385.00, mean_this_gen = 476.32, genome = [1.0, 0.0327, 0.341, 0.679, 0.0, 1.0]
Gen 47: best_this_gen = 4274.00, mean_this_gen = 751.56, genome = [1.0, 0.0, 0.3504, 0.9271, 0.0, 1.0]
Gen 48: best_this_gen = 5064.00, mean_this_gen = 954.88, genome = [0.9609, 0.0, 0.374, 1.0, 0.0, 1.0]
Gen 49: best_this_gen = 3307.00, mean_this_gen = 679.44, genome = [0.9177, 0.0, 0.3171, 1.0, 0.0, 1.0]
Gen 50: best_this_gen = 4643.00, mean_this_gen = 700.44, genome = [0.9177, 0.0, 0.3171, 1.0, 0.0, 1.0]
Gen 51: best_this_gen = 7654.00, mean_this_gen = 823.04, genome = [0.9177, 0.0, 0.3171, 1.0, 0.0, 1.0]
Gen 52: best_this_gen = 2707.00, mean_this_gen = 681.20, genome = [0.9177, 0.0, 0.3171, 1.0, 0.0, 1.0]
Gen 53: best_this_gen = 2858.00, mean_this_gen = 606.92, genome = [1.0, 0.0, 0.374, 1.0, 0.0, 0.7139]
Gen 54: best_this_gen = 2297.00, mean_this_gen = 625.00, genome = [0.6517, 0.0, 0.1772, 1.0, 0.0, 1.0]
Gen 55: best_this_gen = 2133.00, mean_this_gen = 551.16, genome = [0.6517, 0.0, 0.1772, 1.0, 0.0, 0.7123]
Gen 56: best_this_gen = 2452.00, mean_this_gen = 672.88, genome = [0.6517, 0.0, 0.1772, 1.0, 0.0, 0.7123]
Gen 57: best_this_gen = 1818.00, mean_this_gen = 469.20, genome = [0.91, 0.0, 0.2055, 1.0, 0.0, 0.7123]
Gen 58: best_this_gen = 2249.00, mean_this_gen = 574.08, genome = [0.4832, 0.0, 0.1543, 1.0, 0.0, 0.454]
Gen 59: best_this_gen = 2855.00, mean_this_gen = 589.36, genome = [0.5987, 0.0, 0.1772, 1.0, 0.0, 0.7123]
Gen 60: best_this_gen = 2087.00, mean_this_gen = 526.88, genome = [0.4832, 0.0, 0.1543, 0.7071, 0.0, 0.7123]
