Gen 1: best_this_gen = 32.00, mean_this_gen = 15.20, genome = [0.8764, 0.5127, 0.6554, 0.4868, 0.211, 0.9429]
Gen 2: best_this_gen = 43.00, mean_this_gen = 15.73, genome = [0.8764, 0.5127, 0.6554, 0.4868, 0.211, 0.9429]
Gen 3: best_this_gen = 503.00, mean_this_gen = 53.60, genome = [0.6394, 0.025, 0.3766, 0.2711, 0.0, 1.0]
Gen 4: best_this_gen = 322.00, mean_this_gen = 52.20, genome = [0.6394, 0.025, 0.3766, 0.0905, 0.0, 1.0]
Gen 5: best_this_gen = 280.00, mean_this_gen = 57.00, genome = [0.6394, 0.025, 0.3766, 0.0905, 0.0, 1.0]
Gen 6: best_this_gen = 560.00, mean_this_gen = 77.20, genome = [0.6394, 0.025, 0.3507, 0.0905, 0.0, 1.0]
Gen 7: best_this_gen = 496.00, mean_this_gen = 66.00, genome = [0.6394, 0.025, 0.3507, 0.0905, 0.0, 1.0]
Gen 8: best_this_gen = 1598.00, mean_this_gen = 286.20, genome = [1.0, 0.025, 0.3507, 0.2737, 0.0, 1.0]
Gen 9: best_this_gen = 1108.00, mean_this_gen = 171.13, genome = [1.0, 0.025, 0.3507, 0.2737, 0.0, 1.0]
Gen 10: best_this_gen = 1121.00, mean_this_gen = 317.47, genome = [0.7392, 0.025, 0.3507, 0.0905, 0.0, 0.8989]
Gen 11: best_this_gen = 855.00, mean_this_gen = 277.13, genome = [0.7392, 0.025, 0.3507, 0.2737, 0.0, 0.8057]
Gen 12: best_this_gen = 669.00, mean_this_gen = 163.00, genome = [1.0, 0.0811, 0.3507, 0.2737, 0.0, 1.0]
Gen 13: best_this_gen = 2317.00, mean_this_gen = 387.13, genome = [0.9066, 0.0, 0.3507, 0.2737, 0.0, 0.8057]
Gen 14: best_this_gen = 2298.00, mean_this_gen = 798.07, genome = [0.7841, 0.0, 0.3507, 0.2737, 0.0, 0.8663]
Gen 15: best_this_gen = 6426.00, mean_this_gen = 1026.67, genome = [0.7841, 0.0, 0.3381, 0.2737, 0.0, 0.7859]
Gen 16: best_this_gen = 2302.00, mean_this_gen = 585.73, genome = [0.7841, 0.0, 0.3507, 0.5321, 0.0, 0.8663]
Gen 17: best_this_gen = 2109.00, mean_this_gen = 499.60, genome = [0.9066, 0.0, 0.3381, 0.2737, 0.0, 0.7809]
Gen 18: best_this_gen = 1685.00, mean_this_gen = 350.80, genome = [0.9486, 0.0, 0.2606, 0.9066, 0.0, 0.8206]
Gen 19: best_this_gen = 2942.00, mean_this_gen = 698.53, genome = [0.9486, 0.0, 0.2606, 0.9066, 0.0, 0.8206]
Gen 20: best_this_gen = 3248.00, mean_this_gen = 524.67, genome = [0.9486, 0.0, 0.2606, 0.9066, 0.0, 0.8206]
Gen 21: best_this_gen = 4949.00, mean_this_gen = 856.47, genome = [0.7841, 0.0, 0.2606, 1.0, 0.0, 1.0]
Gen 22: best_this_gen = 3746.00, mean_this_gen = 891.33, genome = [0.8496, 0.0, 0.2606, 0.9021, 0.0, 0.7859]
Gen 23: best_this_gen = 3836.00, mean_this_gen = 723.87, genome = [0.7592, 0.0, 0.2606, 0.8971, 0.0, 1.0]
Gen 24: best_this_gen = 1600.00, mean_this_gen = 460.20, genome = [0.7841, 0.0163, 0.2606, 1.0, 0.0, 0.8206]
Gen 25: best_this_gen = 2028.00, mean_this_gen = 549.53, genome = [0.9835, 0.0163, 0.2606, 1.0, 0.0, 0.7513]

Best ever fitness = 6426.00, genome = [0.7841, 0.0, 0.3381, 0.2737, 0.0, 0.7859]
[tournament] Best-ever: fitness=6426.00, genome=[0.7841, 0.0, 0.3381, 0.2737, 0.0, 0.7859]
==================================================================================================================
Gen 1: best_this_gen = 116.00, mean_this_gen = 24.44, genome = [0.8346, 0.5972, 0.5224, 0.4222, 0.0635, 0.3816]
Gen 2: best_this_gen = 57.00, mean_this_gen = 23.60, genome = [0.9961, 0.9469, 0.1971, 0.4385, 0.0814, 0.9865]
Gen 3: best_this_gen = 104.00, mean_this_gen = 37.36, genome = [0.9961, 0.7365, 0.1971, 0.5598, 0.0692, 0.8966]
Gen 4: best_this_gen = 232.00, mean_this_gen = 58.16, genome = [0.8288, 0.6331, 0.0857, 0.8583, 0.0115, 0.0579]
Gen 5: best_this_gen = 114.00, mean_this_gen = 49.96, genome = [1.0, 0.6331, 0.0857, 0.9102, 0.0115, 0.0]
Gen 6: best_this_gen = 259.00, mean_this_gen = 100.20, genome = [1.0, 0.8036, 0.1762, 1.0, 0.0218, 0.4928]
Gen 7: best_this_gen = 246.00, mean_this_gen = 84.08, genome = [1.0, 0.6331, 0.0857, 1.0, 0.0, 0.5445]
Gen 8: best_this_gen = 373.00, mean_this_gen = 109.84, genome = [0.4877, 0.9108, 0.0857, 1.0, 0.0, 0.9176]
Gen 9: best_this_gen = 335.00, mean_this_gen = 94.72, genome = [0.8807, 0.8036, 0.1762, 1.0, 0.0218, 1.0]
Gen 10: best_this_gen = 297.00, mean_this_gen = 99.32, genome = [0.8807, 0.8036, 0.1762, 1.0, 0.0, 1.0]
Gen 11: best_this_gen = 202.00, mean_this_gen = 96.04, genome = [0.8807, 0.8036, 0.1762, 1.0, 0.0, 0.9176]
Gen 12: best_this_gen = 362.00, mean_this_gen = 111.56, genome = [0.6261, 1.0, 0.0857, 1.0, 0.0, 0.8022]
Gen 13: best_this_gen = 193.00, mean_this_gen = 91.64, genome = [0.8807, 1.0, 0.0857, 0.9977, 0.0, 0.8022]
Gen 14: best_this_gen = 162.00, mean_this_gen = 91.56, genome = [0.5907, 1.0, 0.1016, 0.7255, 0.0, 0.8022]
Gen 15: best_this_gen = 307.00, mean_this_gen = 98.52, genome = [0.6074, 0.7942, 0.1329, 0.7554, 0.0, 0.8116]
Gen 16: best_this_gen = 321.00, mean_this_gen = 112.76, genome = [1.0, 0.7159, 0.3176, 0.7255, 0.0, 1.0]
Gen 17: best_this_gen = 243.00, mean_this_gen = 97.24, genome = [1.0, 0.7358, 0.0922, 1.0, 0.0, 1.0]
Gen 18: best_this_gen = 267.00, mean_this_gen = 103.72, genome = [0.4079, 1.0, 0.2367, 0.6853, 0.0, 0.5733]
Gen 19: best_this_gen = 424.00, mean_this_gen = 93.40, genome = [0.4086, 1.0, 0.0922, 0.9825, 0.0, 0.7004]
Gen 20: best_this_gen = 375.00, mean_this_gen = 120.16, genome = [0.4079, 1.0, 0.1049, 0.9825, 0.0, 0.7004]
Gen 21: best_this_gen = 304.00, mean_this_gen = 107.52, genome = [0.8747, 0.9322, 0.3176, 0.9203, 0.0, 0.5733]
Gen 22: best_this_gen = 294.00, mean_this_gen = 104.36, genome = [1.0, 0.3586, 0.1228, 0.7292, 0.0, 0.5733]
Gen 23: best_this_gen = 311.00, mean_this_gen = 105.52, genome = [1.0, 0.7499, 0.098, 0.9825, 0.0, 0.8367]
Gen 24: best_this_gen = 420.00, mean_this_gen = 134.64, genome = [1.0, 0.3586, 0.1228, 1.0, 0.0, 0.8367]
Gen 25: best_this_gen = 210.00, mean_this_gen = 82.88, genome = [0.7484, 0.5601, 0.0997, 1.0, 0.0, 1.0]
Gen 26: best_this_gen = 308.00, mean_this_gen = 114.00, genome = [1.0, 0.0897, 0.1228, 0.886, 0.0, 0.5004]
Gen 27: best_this_gen = 525.00, mean_this_gen = 126.48, genome = [1.0, 0.0897, 0.1228, 0.886, 0.0, 0.5004]
Gen 28: best_this_gen = 2079.00, mean_this_gen = 254.88, genome = [1.0, 0.0, 0.211, 0.8012, 0.0, 1.0]
Gen 29: best_this_gen = 3716.00, mean_this_gen = 324.32, genome = [1.0, 0.0, 0.211, 0.8875, 0.0, 0.689]
Gen 30: best_this_gen = 3374.00, mean_this_gen = 666.44, genome = [1.0, 0.0, 0.1228, 0.7974, 0.0, 0.0282]
Gen 31: best_this_gen = 1961.00, mean_this_gen = 413.64, genome = [1.0, 0.0, 0.3319, 0.5834, 0.0, 0.689]
Gen 32: best_this_gen = 2185.00, mean_this_gen = 420.60, genome = [1.0, 0.0, 0.3319, 0.5834, 0.0, 0.689]
Gen 33: best_this_gen = 1121.00, mean_this_gen = 280.92, genome = [1.0, 0.0, 0.3319, 0.5834, 0.0, 0.689]
Gen 34: best_this_gen = 875.00, mean_this_gen = 227.64, genome = [1.0, 0.0, 0.3319, 0.6559, 0.0, 0.689]
Gen 35: best_this_gen = 1615.00, mean_this_gen = 455.56, genome = [1.0, 0.0, 0.3319, 0.668, 0.0, 0.7534]
Gen 36: best_this_gen = 2582.00, mean_this_gen = 391.96, genome = [0.9039, 0.0, 0.3319, 0.8237, 0.0, 0.8004]
Gen 37: best_this_gen = 2858.00, mean_this_gen = 715.76, genome = [0.9039, 0.0, 0.3319, 0.5967, 0.0, 0.689]
Gen 38: best_this_gen = 2725.00, mean_this_gen = 657.64, genome = [0.8812, 0.0, 0.1979, 0.6559, 0.0, 0.8528]
Gen 39: best_this_gen = 2497.00, mean_this_gen = 424.32, genome = [1.0, 0.0, 0.3319, 0.9219, 0.0, 0.5986]
Gen 40: best_this_gen = 2463.00, mean_this_gen = 725.52, genome = [0.8632, 0.0, 0.251, 0.3393, 0.0, 0.7837]
Gen 41: best_this_gen = 3241.00, mean_this_gen = 652.24, genome = [0.9039, 0.0, 0.251, 0.3393, 0.0, 0.589]
Gen 42: best_this_gen = 4555.00, mean_this_gen = 742.56, genome = [0.7508, 0.0, 0.3319, 0.9219, 0.0, 0.9124]
Gen 43: best_this_gen = 2865.00, mean_this_gen = 532.52, genome = [0.9039, 0.0, 0.31, 0.628, 0.0, 1.0]
Gen 44: best_this_gen = 2142.00, mean_this_gen = 666.96, genome = [0.8632, 0.0, 0.251, 0.47, 0.0, 0.9124]
Gen 45: best_this_gen = 2216.00, mean_this_gen = 335.00, genome = [1.0, 0.0, 0.31, 0.1624, 0.0, 1.0]
Gen 46: best_this_gen = 3337.00, mean_this_gen = 911.92, genome = [0.9151, 0.0, 0.31, 0.0559, 0.0, 1.0]
Gen 47: best_this_gen = 3694.00, mean_this_gen = 674.76, genome = [0.9151, 0.0, 0.31, 0.0559, 0.0, 1.0]
Gen 48: best_this_gen = 4456.00, mean_this_gen = 990.44, genome = [1.0, 0.0, 0.31, 0.0559, 0.0, 1.0]
Gen 49: best_this_gen = 7257.00, mean_this_gen = 1229.24, genome = [0.9151, 0.0, 0.31, 0.0264, 0.0, 0.9993]
Gen 50: best_this_gen = 7079.00, mean_this_gen = 1110.72, genome = [0.9964, 0.0, 0.2713, 0.0264, 0.0, 1.0]

Best ever fitness = 7257.00, genome = [0.9151, 0.0, 0.31, 0.0264, 0.0, 0.9993]
[tournament] Best ever: fitness=7257.00, genome=[0.9151, 0.0, 0.31, 0.0264, 0.0, 0.9993]
================================================================================================================
Gen 1: best_this_gen = 116.00, mean_this_gen = 24.44, genome = [0.8346, 0.5972, 0.5224, 0.4222, 0.0635, 0.3816]
Gen 2: best_this_gen = 57.00, mean_this_gen = 23.60, genome = [0.9961, 0.9469, 0.1971, 0.4385, 0.0814, 0.9865]
Gen 3: best_this_gen = 104.00, mean_this_gen = 37.36, genome = [0.9961, 0.7365, 0.1971, 0.5598, 0.0692, 0.8966]
Gen 4: best_this_gen = 232.00, mean_this_gen = 58.16, genome = [0.8288, 0.6331, 0.0857, 0.8583, 0.0115, 0.0579]
Gen 5: best_this_gen = 114.00, mean_this_gen = 49.96, genome = [1.0, 0.6331, 0.0857, 0.9102, 0.0115, 0.0]
Gen 6: best_this_gen = 259.00, mean_this_gen = 100.20, genome = [1.0, 0.8036, 0.1762, 1.0, 0.0218, 0.4928]
Gen 7: best_this_gen = 246.00, mean_this_gen = 84.08, genome = [1.0, 0.6331, 0.0857, 1.0, 0.0, 0.5445]
Gen 8: best_this_gen = 373.00, mean_this_gen = 109.84, genome = [0.4877, 0.9108, 0.0857, 1.0, 0.0, 0.9176]
Gen 9: best_this_gen = 335.00, mean_this_gen = 94.72, genome = [0.8807, 0.8036, 0.1762, 1.0, 0.0218, 1.0]
Gen 10: best_this_gen = 297.00, mean_this_gen = 99.32, genome = [0.8807, 0.8036, 0.1762, 1.0, 0.0, 1.0]
Gen 11: best_this_gen = 202.00, mean_this_gen = 96.04, genome = [0.8807, 0.8036, 0.1762, 1.0, 0.0, 0.9176]
Gen 12: best_this_gen = 362.00, mean_this_gen = 111.56, genome = [0.6261, 1.0, 0.0857, 1.0, 0.0, 0.8022]
Gen 13: best_this_gen = 193.00, mean_this_gen = 91.64, genome = [0.8807, 1.0, 0.0857, 0.9977, 0.0, 0.8022]
Gen 14: best_this_gen = 162.00, mean_this_gen = 91.56, genome = [0.5907, 1.0, 0.1016, 0.7255, 0.0, 0.8022]
Gen 15: best_this_gen = 307.00, mean_this_gen = 98.52, genome = [0.6074, 0.7942, 0.1329, 0.7554, 0.0, 0.8116]
Gen 16: best_this_gen = 321.00, mean_this_gen = 112.76, genome = [1.0, 0.7159, 0.3176, 0.7255, 0.0, 1.0]
Gen 17: best_this_gen = 243.00, mean_this_gen = 97.24, genome = [1.0, 0.7358, 0.0922, 1.0, 0.0, 1.0]
Gen 18: best_this_gen = 267.00, mean_this_gen = 103.72, genome = [0.4079, 1.0, 0.2367, 0.6853, 0.0, 0.5733]
Gen 19: best_this_gen = 424.00, mean_this_gen = 93.40, genome = [0.4086, 1.0, 0.0922, 0.9825, 0.0, 0.7004]
Gen 20: best_this_gen = 375.00, mean_this_gen = 120.16, genome = [0.4079, 1.0, 0.1049, 0.9825, 0.0, 0.7004]
Gen 21: best_this_gen = 304.00, mean_this_gen = 107.52, genome = [0.8747, 0.9322, 0.3176, 0.9203, 0.0, 0.5733]
Gen 22: best_this_gen = 294.00, mean_this_gen = 104.36, genome = [1.0, 0.3586, 0.1228, 0.7292, 0.0, 0.5733]
Gen 23: best_this_gen = 311.00, mean_this_gen = 105.52, genome = [1.0, 0.7499, 0.098, 0.9825, 0.0, 0.8367]
Gen 24: best_this_gen = 420.00, mean_this_gen = 134.64, genome = [1.0, 0.3586, 0.1228, 1.0, 0.0, 0.8367]
Gen 25: best_this_gen = 210.00, mean_this_gen = 82.88, genome = [0.7484, 0.5601, 0.0997, 1.0, 0.0, 1.0]
Gen 26: best_this_gen = 308.00, mean_this_gen = 114.00, genome = [1.0, 0.0897, 0.1228, 0.886, 0.0, 0.5004]
Gen 27: best_this_gen = 525.00, mean_this_gen = 126.48, genome = [1.0, 0.0897, 0.1228, 0.886, 0.0, 0.5004]
Gen 28: best_this_gen = 2079.00, mean_this_gen = 254.88, genome = [1.0, 0.0, 0.211, 0.8012, 0.0, 1.0]
Gen 29: best_this_gen = 3716.00, mean_this_gen = 324.32, genome = [1.0, 0.0, 0.211, 0.8875, 0.0, 0.689]
Gen 30: best_this_gen = 3374.00, mean_this_gen = 666.44, genome = [1.0, 0.0, 0.1228, 0.7974, 0.0, 0.0282]
Gen 31: best_this_gen = 1961.00, mean_this_gen = 413.64, genome = [1.0, 0.0, 0.3319, 0.5834, 0.0, 0.689]
Gen 32: best_this_gen = 2185.00, mean_this_gen = 420.60, genome = [1.0, 0.0, 0.3319, 0.5834, 0.0, 0.689]
Gen 33: best_this_gen = 1121.00, mean_this_gen = 280.92, genome = [1.0, 0.0, 0.3319, 0.5834, 0.0, 0.689]
Gen 34: best_this_gen = 875.00, mean_this_gen = 227.64, genome = [1.0, 0.0, 0.3319, 0.6559, 0.0, 0.689]
Gen 35: best_this_gen = 1615.00, mean_this_gen = 455.56, genome = [1.0, 0.0, 0.3319, 0.668, 0.0, 0.7534]
Gen 36: best_this_gen = 2582.00, mean_this_gen = 391.96, genome = [0.9039, 0.0, 0.3319, 0.8237, 0.0, 0.8004]
Gen 37: best_this_gen = 2858.00, mean_this_gen = 715.76, genome = [0.9039, 0.0, 0.3319, 0.5967, 0.0, 0.689]
Gen 38: best_this_gen = 2725.00, mean_this_gen = 657.64, genome = [0.8812, 0.0, 0.1979, 0.6559, 0.0, 0.8528]
Gen 39: best_this_gen = 2497.00, mean_this_gen = 424.32, genome = [1.0, 0.0, 0.3319, 0.9219, 0.0, 0.5986]
Gen 40: best_this_gen = 2463.00, mean_this_gen = 725.52, genome = [0.8632, 0.0, 0.251, 0.3393, 0.0, 0.7837]
Gen 41: best_this_gen = 3241.00, mean_this_gen = 652.24, genome = [0.9039, 0.0, 0.251, 0.3393, 0.0, 0.589]
Gen 42: best_this_gen = 4555.00, mean_this_gen = 742.56, genome = [0.7508, 0.0, 0.3319, 0.9219, 0.0, 0.9124]
Gen 43: best_this_gen = 2865.00, mean_this_gen = 532.52, genome = [0.9039, 0.0, 0.31, 0.628, 0.0, 1.0]
Gen 44: best_this_gen = 2142.00, mean_this_gen = 666.96, genome = [0.8632, 0.0, 0.251, 0.47, 0.0, 0.9124]
Gen 45: best_this_gen = 2216.00, mean_this_gen = 335.00, genome = [1.0, 0.0, 0.31, 0.1624, 0.0, 1.0]
Gen 46: best_this_gen = 3337.00, mean_this_gen = 911.92, genome = [0.9151, 0.0, 0.31, 0.0559, 0.0, 1.0]
Gen 47: best_this_gen = 3694.00, mean_this_gen = 674.76, genome = [0.9151, 0.0, 0.31, 0.0559, 0.0, 1.0]
Gen 48: best_this_gen = 4456.00, mean_this_gen = 990.44, genome = [1.0, 0.0, 0.31, 0.0559, 0.0, 1.0]
Gen 49: best_this_gen = 7257.00, mean_this_gen = 1229.24, genome = [0.9151, 0.0, 0.31, 0.0264, 0.0, 0.9993]
Gen 50: best_this_gen = 7079.00, mean_this_gen = 1110.72, genome = [0.9964, 0.0, 0.2713, 0.0264, 0.0, 1.0]
Gen 51: best_this_gen = 5668.00, mean_this_gen = 974.80, genome = [0.9151, 0.0, 0.31, 0.0256, 0.0, 1.0]
Gen 52: best_this_gen = 8244.00, mean_this_gen = 1395.68, genome = [0.8991, 0.0, 0.2713, 0.0264, 0.0, 1.0]
Gen 53: best_this_gen = 8011.00, mean_this_gen = 856.80, genome = [0.8991, 0.0, 0.2713, 0.0264, 0.0, 1.0]
Gen 54: best_this_gen = 9244.00, mean_this_gen = 892.76, genome = [0.8579, 0.0, 0.2713, 0.0256, 0.0, 0.8542]
Gen 55: best_this_gen = 4026.00, mean_this_gen = 633.12, genome = [1.0, 0.0, 0.2713, 0.0264, 0.0, 0.8149]
Gen 56: best_this_gen = 4542.00, mean_this_gen = 798.84, genome = [1.0, 0.0236, 0.327, 0.0559, 0.0, 1.0]
Gen 57: best_this_gen = 8171.00, mean_this_gen = 1012.44, genome = [1.0, 0.0, 0.2713, 0.078, 0.0, 1.0]
Gen 58: best_this_gen = 5331.00, mean_this_gen = 658.08, genome = [0.7481, 0.0, 0.31, 0.3099, 0.0, 1.0]
Gen 59: best_this_gen = 2068.00, mean_this_gen = 470.24, genome = [0.875, 0.0, 0.31, 0.1777, 0.0, 0.9403]
Gen 60: best_this_gen = 8397.00, mean_this_gen = 1220.44, genome = [0.875, 0.0, 0.31, 0.1777, 0.0, 1.0]
Gen 61: best_this_gen = 6468.00, mean_this_gen = 759.80, genome = [1.0, 0.0, 0.2581, 0.3099, 0.0, 1.0]
Gen 62: best_this_gen = 2152.00, mean_this_gen = 527.64, genome = [0.8311, 0.0, 0.2581, 0.3099, 0.0, 0.9755]
Gen 63: best_this_gen = 2839.00, mean_this_gen = 511.68, genome = [1.0, 0.0511, 0.3042, 0.0321, 0.0, 1.0]
Gen 64: best_this_gen = 4265.00, mean_this_gen = 633.84, genome = [0.69, 0.0, 0.3042, 0.0321, 0.0, 1.0]
Gen 65: best_this_gen = 5641.00, mean_this_gen = 778.88, genome = [0.69, 0.0, 0.3042, 0.0321, 0.0, 1.0]
Gen 66: best_this_gen = 4799.00, mean_this_gen = 1135.32, genome = [1.0, 0.0, 0.3042, 0.0321, 0.0, 1.0]
Gen 67: best_this_gen = 8834.00, mean_this_gen = 1267.20, genome = [0.8616, 0.0, 0.3042, 0.0321, 0.0, 0.8998]
Gen 68: best_this_gen = 7675.00, mean_this_gen = 1050.84, genome = [0.8616, 0.0, 0.3042, 0.0321, 0.0, 0.8998]
Gen 69: best_this_gen = 3211.00, mean_this_gen = 639.64, genome = [1.0, 0.0163, 0.3042, 0.0321, 0.0, 1.0]
Gen 70: best_this_gen = 8480.00, mean_this_gen = 780.44, genome = [0.7994, 0.0163, 0.3042, 0.0321, 0.0, 1.0]
